volatility_percent,bollinger_position,adx,rsi_volatility,rsi_divergence,rsi_delta,linear_regression,choppiness_index,ema_cross_signal,atr_to_price_ratio,pchange,avpchange,gma,gma_smoothed,signal_gma,target
13.073914229726563,0.4321579452601921,27.629701168434682,45.06609367093163,0.0,-1.6374702675811363,-1.5587777145650565,52.329960224303335,1.0,0.042634921313733344,-1.0078782998268976,0.10302307625971623,0.10302307625971623,0.14468321818149593,0.0,1
9.422309107635694,-0.05394863130113573,15.747304626843345,35.95398571944432,0.0,-2.935126856492687,-2.9947113380780728,48.47586966326846,0.0,0.04168921710971428,-1.4572447102115929,-0.5658500120281694,-0.5658500120281694,-0.50046471067083,0.0,0
4.594618365818929,-0.20491185029344222,9.864652483951973,11.541381272016437,0.0,-4.494523031767045,-0.01779905487763944,46.70735764529524,0.0,0.020583185516502192,-1.0164241998752992,-0.2538930997971708,-0.2538930997971708,-0.19452438662255117,0.0,1
4.093953744392765,-0.15652267087903382,14.383857672838731,7.968461783574909,0.0,-5.380105474960118,-3.0182876435233372,46.420552593509036,0.0,0.0139496061675825,-0.5015799357349334,-0.16872773179588407,-0.16872773179588407,-0.14072916297621588,0.0,1
3.2826844609576864,-0.24606715403699322,11.985376046379066,37.02104351540518,0.0,-6.858028105088948,0.39208696353196504,40.34764906347376,0.0,0.015974968850958525,-1.082664279375205,-0.1889504821215539,-0.1889504821215539,-0.11503592008276368,0.0,0
3.702659597387404,-0.07907485431308248,12.340954222872833,50.337506522209466,0.0,-16.82415404859563,3.0559981619634065,37.496998869334305,0.0,0.025599234196373985,-2.636155666862952,-0.20870054576241948,-0.20870054576241948,-0.06145735901484416,0.0,0
6.670224624635612,0.16340172503832576,25.883517790978257,85.40542755359868,0.0,1.6501269878124987,-3.725117117738194,41.438903678451005,0.0,0.03645430944568921,1.0784058575701563,-0.527971941712979,-0.527971941712979,-0.5872140407861177,1.0,0
6.995436474008214,0.24245171985916567,32.10742199041261,84.78121011077546,0.0,4.061183295994887,-1.5261172636350253,58.590750032591586,0.0,0.028557099355350897,-0.2326757010943981,-0.23847522525484852,-0.23847522525484852,-0.2189890742198693,0.0,0
8.01575943715801,0.1789635418358072,36.849189839614034,83.16766075012293,0.0,2.0171078593141587,0.9881646620765094,58.01646566170452,0.0,0.03744754771006134,-1.259936649210194,-0.2235439504090861,-0.2235439504090861,-0.17896969302517807,0.0,0
8.627081543520227,0.7821670382895363,29.307788604225365,73.26646732486422,0.0,1.5527003596005144,3.0925311395348443,51.18147869437111,1.0,0.01907122863068786,0.31887543349197,0.20505306266452125,0.20505306266452125,0.2114116949827184,0.0,1
15.59618269501803,0.8813491076257413,46.9027596476283,95.98717153746561,0.0,0.10743139223133369,0.8387068503881444,31.800200844482347,1.0,0.04285544471824394,-0.44427381111094555,1.0310098214926524,1.0310098214926524,1.1086565222359193,0.0,0
5.768877662638651,0.8476373669949601,26.356421881476408,67.15011764607522,0.0,0.7052953988165314,0.5016832434467505,37.873351057574276,1.0,0.02333150372125759,0.08596106244739296,0.28256371590724,0.28256371590724,0.3085497207419039,0.0,1
7.37614866376797,-0.11211810475766282,20.767387797570027,81.17634730976481,0.0,-3.9544965390594484,0.4093611877670887,41.40286090540973,0.0,0.03480758816648032,-2.77251157415353,-0.32508396501416037,-0.32508396501416037,-0.1899624803201317,0.0,0
9.470499804610828,0.3241269341186458,28.967569162513797,83.50524345257213,0.0,-0.5712668849297486,1.4956928949247763,38.03336799699778,0.0,0.025739359025464714,-1.0931382158514489,-0.03638428132839734,-0.03638428132839734,0.03421693126437022,0.0,0
13.052728049046816,0.10064581847917546,35.82535626861278,89.94984231789086,0.0,-1.1791087424033577,-1.0570819092981654,43.301541128306006,0.0,0.04275227587697842,-0.5408325088337806,-0.6589685388118603,-0.6589685388118603,-0.666040697825781,1.0,0
12.978359720557236,0.12462107849695685,36.47639596521074,86.04452596994784,0.0,3.417378984129016,-1.4344343731032174,44.75888259161925,0.0,0.0430983205936421,-0.5004133768756988,-0.6899776856651105,-0.6899776856651105,-0.6909288487992797,1.0,0
13.324042834871491,0.040411099635096745,39.34431104931829,71.80431605328243,0.0,-2.4119656783967685,-1.0286724562635607,52.253656874274505,0.0,0.04115228171225221,-1.5647291544884003,-0.6059259925919721,-0.6059259925919721,-0.49735607752696886,0.0,0
13.121621429961818,0.6596600789761341,33.31839228879381,53.63495181665578,0.0,-0.3688660622800626,2.7341658006869496,46.48911374185317,1.0,0.02615893738707126,-0.23123144542110066,0.24977807419511036,0.24977807419511036,0.2788296133171622,0.0,1
7.663387562361431,-0.26764253742955624,19.430146251004707,15.306031071073761,0.0,-14.556540878521524,-0.6286150288575125,57.54918282715146,0.0,0.02359302300496747,-1.7031369673744972,-0.10060295995871392,-0.10060295995871392,-0.046814367794829705,0.0,0
6.455400149214811,-0.08565427965082904,21.766162375522093,36.10285529600319,0.0,-3.113211015646037,1.8164480526834437,54.96393427393749,0.0,0.03214831475012956,-1.1578161354259227,-0.21710106950707997,-0.21710106950707997,-0.10589329220084846,0.0,0
7.013136594983489,-0.31839762706317964,17.552569638317287,41.6070866067849,0.0,-8.430299913191753,-1.743034201843265,42.0144370832804,0.0,0.021370201924479602,-1.4672027720517244,-0.282252897327435,-0.282252897327435,-0.19084138733993272,0.0,1
6.335720857298872,-0.1027555385783747,15.29734568891539,63.07992122053741,0.0,-0.2154273327005427,0.2334876627511627,48.851349901999754,0.0,0.027952231261805134,-0.4733438013262794,-0.37362690192116793,-0.37362690192116793,-0.27565755353833127,0.0,0
4.303649254772379,-0.4011584942783694,12.420031645416529,19.391411073020308,0.0,-8.638753351959927,-4.577492552602262,43.93898441839961,0.0,0.013428921858682915,-0.6848903293370617,-0.16223590562284534,-0.16223590562284534,-0.11753233428703955,0.0,0
3.9785262300017754,-0.177481051620603,22.454837756770676,61.089099515585815,0.0,-1.8852701441476682,2.037450833366113,50.222458729064485,0.0,0.021308222422238423,-1.3869963455528895,-0.19849539313223336,-0.19849539313223336,-0.11288601358419206,0.0,0
2.839678218215655,0.0011127043163377832,12.070092722141581,26.55068521364649,0.0,-5.94693455404591,0.09948575890836554,46.37026293665105,0.0,0.021999680571378435,-0.9248123906085799,-0.13862410741887,-0.13862410741887,-0.10079250806315439,0.0,0
11.469319714069341,0.8596273094505718,27.470093460427123,93.07320800581728,0.0,-0.7858986725271819,1.1653217658629589,35.59579508663667,1.0,0.02041090711944293,0.049550392427865415,0.35649937175046853,0.35649937175046853,0.37554362839040023,0.0,1
8.193296359832711,0.5569671022487378,29.315132875014733,55.30615468535208,0.0,1.9105433882216332,-2.1746052465714776,57.52582951231449,1.0,0.025630734651123036,0.823105428265712,0.07600656985981852,0.07600656985981852,0.05214795418204638,1.0,1
7.67754797906617,-0.07513299331999865,17.408412813670704,11.907581384444129,0.0,-2.696696387772306,-3.0220405605353977,55.20850764514105,0.0,0.023537296366469465,-0.7689487207224251,-0.2966450791676969,-0.2966450791676969,-0.2534706203379282,0.0,1
3.7078012641744538,-0.5065980698327028,16.063212722092015,43.4229739199465,0.0,-12.29516059733875,-1.9744194364374659,29.808984147059277,0.0,0.011790696023746527,-1.1683928132903376,-0.1711304355167285,-0.1711304355167285,-0.10272966425381712,0.0,1
7.761918240346537,0.301864759207941,28.73800068067926,74.02885329457679,0.0,2.5107378356265215,0.7385810405611073,53.472432840599595,0.0,0.03742832209628601,-0.2566322118255132,-0.12715138068658724,-0.12715138068658724,-0.1052746330036285,0.0,1
4.905541199502181,-0.2040181714285122,14.097286720705053,27.77188133876156,0.0,-13.32544841020745,-0.547348090131699,44.563569475023534,0.0,0.02457973716752186,-1.9259668657265594,-0.0786693158963165,-0.0786693158963165,0.00047451959960858464,0.0,1
